"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"no complaint",6310,86,1099.84,28,"active","non-churn"
"no complaint",685,14,143.955,13,"non-active","non-churn"
"no complaint",520,14,173.36,10,"non-active","non-churn"
"no complaint",0,0,112.5,0,"non-active","churn"
"no complaint",7318,127,1933.8,45,"active","non-churn"
"no complaint",11275,154,375.725,49,"active","non-churn"
"no complaint",6528,75,895.635,39,"active","non-churn"
"no complaint",765,47,196.48,19,"non-active","churn"
"no complaint",10245,93,194.07,44,"active","non-churn"
"complaint",5628,98,487.17,26,"active","churn"
"no complaint",2650,22,206.88,16,"active","non-churn"
"complaint",2800,41,249.64,18,"non-active","churn"
"no complaint",2078,44,320.88,33,"non-active","churn"
"no complaint",0,0,100,0,"non-active","churn"
"no complaint",1478,25,100.075,8,"active","non-churn"
"no complaint",6595,97,158.88,24,"active","non-churn"
"no complaint",438,7,96.125,6,"non-active","churn"
"no complaint",148,4,45.78,4,"active","non-churn"
"no complaint",15885,238,838.035,82,"active","non-churn"
"no complaint",6775,116,1642.095,35,"active","non-churn"
"no complaint",3528,82,252.4,30,"active","non-churn"
"no complaint",1475,44,312.76,22,"non-active","non-churn"
"no complaint",2590,53,1018.935,25,"active","non-churn"
"no complaint",1125,36,1033.245,13,"active","non-churn"
"no complaint",1378,39,172.925,70,"active","non-churn"
"no complaint",510,25,161.4,9,"non-active","non-churn"
"no complaint",635,10,131.125,5,"non-active","non-churn"
"no complaint",1035,32,246.015,15,"active","non-churn"
"no complaint",3035,61,255.84,25,"active","non-churn"
"no complaint",1505,26,307.395,16,"active","non-churn"
"no complaint",6203,141,780.48,44,"active","non-churn"
"no complaint",8743,171,280.71,42,"active","non-churn"
"no complaint",2663,45,332.32,21,"active","non-churn"
"no complaint",4200,40,1129.6,12,"active","non-churn"
"complaint",1298,19,152.68,9,"active","churn"
"no complaint",3950,59,180.405,11,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2033,48,1533.645,18,"active","non-churn"
"no complaint",3778,54,210.76,29,"active","non-churn"
"no complaint",1973,46,111.045,27,"active","non-churn"
"no complaint",3355,70,154.125,22,"active","non-churn"
"no complaint",1940,27,1062.68,12,"active","non-churn"
"no complaint",8695,109,772.16,37,"active","non-churn"
"no complaint",13353,157,540.4,38,"active","non-churn"
"no complaint",4095,71,166.64,19,"active","non-churn"
"no complaint",5498,83,251.145,6,"active","non-churn"
"no complaint",1818,42,74.4,11,"non-active","non-churn"
"no complaint",14720,213,739.485,26,"active","non-churn"
"no complaint",2675,15,1883.6,2,"active","non-churn"
"no complaint",15065,170,1185.075,24,"active","non-churn"
"no complaint",6080,74,834.16,20,"active","non-churn"
"no complaint",455,2,20.565,5,"non-active","non-churn"
"no complaint",290,2,13.14,2,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7088,115,1876.635,37,"active","non-churn"
"no complaint",11045,142,447.48,41,"active","non-churn"
"no complaint",6298,63,596.745,31,"active","non-churn"
"no complaint",535,35,25.65,11,"non-active","churn"
"no complaint",10015,81,252.4,36,"active","non-churn"
"no complaint",5398,86,246.78,18,"active","churn"
"no complaint",2420,10,97.2,8,"active","non-churn"
"complaint",2570,29,116.955,10,"non-active","churn"
"no complaint",1848,32,75.2,25,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1248,13,50.44,3,"active","non-churn"
"no complaint",6365,85,161.25,16,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15655,226,714.645,74,"active","non-churn"
"no complaint",6545,104,1343.205,27,"active","non-churn"
"no complaint",3298,70,151.56,22,"active","non-churn"
"no complaint",1245,32,51.08,14,"non-active","non-churn"
"no complaint",2360,41,720.045,17,"active","non-churn"
"no complaint",895,24,734.355,5,"active","non-churn"
"no complaint",1148,27,29.375,62,"active","non-churn"
"no complaint",280,13,13.185,1,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",805,20,45.375,7,"active","non-churn"
"no complaint",2805,49,114.16,17,"active","non-churn"
"no complaint",1275,14,58.005,8,"active","non-churn"
"no complaint",5973,129,588.61,36,"active","non-churn"
"no complaint",8513,159,301.8,34,"active","non-churn"
"no complaint",2433,33,98.64,13,"active","non-churn"
"no complaint",3970,28,971.91,4,"active","non-churn"
"complaint",1068,7,48.375,1,"active","churn"
"no complaint",4255,66,225.945,18,"active","non-churn"
"no complaint",0,0,40.5,0,"non-active","non-churn"
"no complaint",2338,55,1732.185,25,"active","non-churn"
"no complaint",4083,61,244.42,36,"active","non-churn"
"no complaint",2278,53,150.205,34,"active","non-churn"
"no complaint",3660,77,321.165,29,"active","non-churn"
"no complaint",2245,34,1239.16,19,"active","non-churn"
"no complaint",9000,116,948.64,44,"active","non-churn"
"no complaint",13658,164,560.88,45,"active","non-churn"
"no complaint",4400,78,195.12,26,"active","non-churn"
"no complaint",5803,90,305.685,13,"active","non-churn"
"complaint",2123,49,126.88,18,"non-active","non-churn"
"no complaint",15025,220,833.8,33,"active","non-churn"
"no complaint",2980,22,2060.08,9,"active","non-churn"
"no complaint",15370,177,1383.615,31,"active","non-churn"
"no complaint",6385,81,1010.64,27,"active","non-churn"
"no complaint",760,9,43.605,12,"non-active","non-churn"
"no complaint",595,9,94.68,9,"non-active","non-churn"
"no complaint",0,0,9,0,"non-active","churn"
"no complaint",7393,122,2075.175,44,"active","non-churn"
"no complaint",11350,149,511.96,48,"active","non-churn"
"no complaint",6603,70,795.285,38,"active","non-churn"
"no complaint",840,42,120.69,18,"non-active","churn"
"no complaint",10320,88,267.7,43,"active","non-churn"
"no complaint",5703,93,386.82,25,"active","churn"
"no complaint",2725,17,117.68,15,"active","non-churn"
"no complaint",2875,36,180.495,17,"non-active","churn"
"complaint",2153,39,231.68,32,"non-active","churn"
"no complaint",0,0,8,0,"non-active","churn"
"no complaint",1553,20,70.92,7,"active","non-churn"
"no complaint",6670,92,209.05,23,"active","non-churn"
"no complaint",513,2,40.375,5,"non-active","churn"
"no complaint",0,0,9,0,"active","non-churn"
"no complaint",15960,233,737.685,81,"active","non-churn"
"no complaint",6850,111,1541.745,34,"active","non-churn"
"no complaint",3603,77,183.6,29,"active","non-churn"
"no complaint",1550,39,223.56,21,"non-active","non-churn"
"no complaint",2665,48,918.585,24,"active","non-churn"
"no complaint",1200,31,932.895,12,"active","non-churn"
"no complaint",1453,34,117.175,69,"active","non-churn"
"no complaint",585,20,81.225,8,"non-active","non-churn"
"no complaint",710,5,75.375,4,"non-active","non-churn"
"no complaint",1110,27,145.665,14,"active","non-churn"
"no complaint",3110,56,166.64,24,"active","non-churn"
"no complaint",1580,21,207.045,15,"active","non-churn"
"no complaint",6277,136,831.215,43,"active","non-churn"
"no complaint",8817,166,412.075,41,"active","non-churn"
"no complaint",2737,40,243.08,20,"active","non-churn"
"no complaint",4275,35,1040.4,11,"active","non-churn"
"complaint",1372,14,71.37,8,"active","churn"
"no complaint",3875,64,177.255,12,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1958,53,1633.995,19,"active","non-churn"
"no complaint",3703,59,169.29,30,"active","non-churn"
"no complaint",1898,51,107.195,28,"active","non-churn"
"no complaint",3280,75,222.975,23,"active","non-churn"
"no complaint",1865,32,1151.88,13,"active","non-churn"
"no complaint",8620,114,861.36,38,"active","non-churn"
"no complaint",13278,162,537.6,39,"active","non-churn"
"no complaint",4020,76,163.84,20,"active","non-churn"
"no complaint",5423,88,247.995,7,"active","non-churn"
"no complaint",1743,47,71.6,12,"non-active","non-churn"
"no complaint",14645,218,746.52,27,"active","non-churn"
"no complaint",2600,20,1972.8,3,"active","non-churn"
"no complaint",14990,175,1285.425,25,"active","non-churn"
"no complaint",6005,79,923.36,21,"active","non-churn"
"no complaint",380,7,17.415,6,"non-active","non-churn"
"no complaint",215,7,9.99,3,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7013,120,1976.985,38,"active","non-churn"
"no complaint",10970,147,444.68,42,"active","non-churn"
"no complaint",6223,68,697.095,32,"active","non-churn"
"complaint",460,40,22.5,12,"non-active","churn"
"no complaint",9940,86,250.65,37,"active","non-churn"
"no complaint",5323,91,288.63,19,"active","churn"
"no complaint",2345,15,94.4,9,"active","non-churn"
"complaint",2495,34,113.805,11,"non-active","churn"
"no complaint",1773,37,144.4,26,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1173,18,47.64,1,"active","non-churn"
"no complaint",6290,90,159.5,17,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15580,231,711.495,75,"active","non-churn"
"no complaint",6470,109,1443.555,28,"active","non-churn"
"no complaint",3223,75,148.41,23,"active","non-churn"
"no complaint",1170,37,136.28,15,"non-active","non-churn"
"no complaint",2285,46,820.395,18,"active","non-churn"
"no complaint",820,29,834.705,6,"active","non-churn"
"no complaint",1073,32,62.625,63,"active","non-churn"
"no complaint",205,18,10.035,2,"non-active","non-churn"
"no complaint",0,0,12.5,0,"non-active","non-churn"
"no complaint",730,25,47.475,8,"active","non-churn"
"no complaint",2730,54,111.36,18,"active","non-churn"
"no complaint",1200,19,108.855,9,"active","non-churn"
"no complaint",5897,134,711.205,37,"active","non-churn"
"no complaint",8437,164,357.525,35,"active","non-churn"
"no complaint",2357,38,155.8,14,"active","non-churn"
"no complaint",3895,33,953.12,5,"active","non-churn"
"no complaint",992,12,45.18,2,"active","churn"
"no complaint",4065,59,185.58,14,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2148,48,1646.82,21,"active","non-churn"
"no complaint",3893,54,217.085,32,"active","non-churn"
"no complaint",2088,46,117.37,30,"active","non-churn"
"no complaint",3470,70,235.8,25,"active","non-churn"
"no complaint",2055,27,1163.28,15,"active","non-churn"
"no complaint",8810,109,872.76,40,"active","non-churn"
"no complaint",13468,157,545,41,"active","non-churn"
"no complaint",4210,71,171.24,22,"active","non-churn"
"no complaint",5613,83,256.32,9,"active","non-churn"
"no complaint",1933,42,79,14,"non-active","non-churn"
"no complaint",14835,213,852.66,29,"active","non-churn"
"no complaint",2790,15,1984.2,5,"active","non-churn"
"no complaint",15180,170,1298.25,27,"active","non-churn"
"no complaint",6195,74,934.76,23,"active","non-churn"
"no complaint",570,2,25.74,8,"non-active","non-churn"
"no complaint",405,2,18.315,5,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7203,115,1989.81,40,"active","non-churn"
"no complaint",11160,142,452.08,44,"active","non-churn"
"no complaint",6413,63,709.92,34,"active","non-churn"
"no complaint",650,35,35.325,14,"non-active","churn"
"no complaint",10130,81,255.275,39,"active","non-churn"
"no complaint",5513,86,301.455,21,"active","churn"
"no complaint",2535,10,101.8,11,"active","non-churn"
"no complaint",2685,29,122.13,13,"non-active","churn"
"no complaint",1963,32,155.8,28,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1363,13,55.04,3,"active","non-churn"
"no complaint",6480,85,164.125,19,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15770,226,719.82,77,"active","non-churn"
"no complaint",6660,104,1456.38,30,"active","non-churn"
"no complaint",3413,70,156.735,25,"active","non-churn"
"no complaint",1360,32,147.68,17,"non-active","non-churn"
"no complaint",2475,41,833.22,20,"active","non-churn"
"no complaint",1010,24,847.53,8,"active","non-churn"
"no complaint",1263,27,69.75,65,"active","non-churn"
"no complaint",395,13,18.36,4,"non-active","non-churn"
"no complaint",520,4,28.1,2,"non-active","non-churn"
"no complaint",920,20,73.7,10,"active","non-churn"
"no complaint",2920,49,118.76,20,"active","non-churn"
"no complaint",1390,14,121.68,11,"active","non-churn"
"no complaint",6087,129,726.88,39,"active","non-churn"
"no complaint",8627,159,364.65,37,"active","non-churn"
"no complaint",2547,33,167.2,16,"active","non-churn"
"no complaint",4085,28,1085.085,7,"active","non-churn"
"no complaint",1182,7,53.505,4,"active","churn"
"no complaint",4065,71,189.44,16,"active","non-churn"
"no complaint",13,5,32.72,3,"non-active","non-churn"
"no complaint",2148,60,1528.32,23,"active","non-churn"
"no complaint",3893,66,228.745,34,"active","non-churn"
"no complaint",2088,58,110.07,32,"active","non-churn"
"no complaint",3470,82,274.08,27,"active","non-churn"
"no complaint",2055,39,1227.76,17,"active","non-churn"
"no complaint",8810,121,937.24,42,"active","non-churn"
"no complaint",13468,169,549.48,43,"active","non-churn"
"no complaint",4210,83,183.72,24,"active","non-churn"
"no complaint",5613,95,260.32,11,"active","non-churn"
"no complaint",1933,54,115.48,16,"non-active","non-churn"
"no complaint",14835,225,822.4,31,"active","non-churn"
"no complaint",2790,27,2048.68,7,"active","non-churn"
"no complaint",15180,182,1370.79,29,"active","non-churn"
"no complaint",6195,86,999.24,25,"active","non-churn"
"no complaint",570,14,30.78,10,"non-active","non-churn"
"no complaint",405,14,72.76,7,"non-active","non-churn"
"no complaint",0,0,4.5,0,"non-active","churn"
"no complaint",7203,127,1833.2,42,"active","non-churn"
"no complaint",11160,154,312.85,46,"active","non-churn"
"no complaint",6413,75,782.46,36,"active","non-churn"
"no complaint",650,47,95.88,16,"non-active","churn"
"no complaint",10130,93,156.345,41,"active","non-churn"
"no complaint",5513,98,373.995,23,"active","churn"
"no complaint",2535,22,106.28,13,"active","non-churn"
"complaint",2685,41,149.04,15,"non-active","churn"
"no complaint",1963,44,220.28,30,"non-active","churn"
"no complaint",0,0,4,0,"non-active","churn"
"no complaint",1363,25,37.2,5,"active","non-churn"
"no complaint",6480,97,121.155,21,"active","non-churn"
"no complaint",323,7,33.25,3,"non-active","churn"
"no complaint",33,4,8.055,1,"active","non-churn"
"no complaint",15770,238,724.86,79,"active","non-churn"
"no complaint",6660,116,1528.92,32,"active","non-churn"
"no complaint",3413,82,151.8,27,"active","non-churn"
"no complaint",1360,44,212.16,19,"non-active","non-churn"
"no complaint",2475,53,905.76,22,"active","non-churn"
"no complaint",1010,36,920.07,10,"active","non-churn"
"no complaint",1263,39,110.05,67,"active","non-churn"
"no complaint",395,25,60.8,6,"non-active","non-churn"
"no complaint",520,10,68.25,2,"non-active","non-churn"
"no complaint",920,32,132.84,12,"active","non-churn"
"no complaint",2920,61,155.24,22,"active","non-churn"
"no complaint",1390,26,194.22,13,"active","non-churn"
"no complaint",6087,141,667.26,41,"active","non-churn"
"no complaint",8627,171,242.97,39,"active","non-churn"
"no complaint",2547,45,231.68,18,"active","non-churn"
"no complaint",4085,40,1029,9,"active","non-churn"
"no complaint",1182,19,52.04,6,"active","churn"
"no complaint",4775,76,321.795,15,"active","non-churn"
"no complaint",723,10,68.985,2,"non-active","non-churn"
"no complaint",2858,65,1751.535,22,"active","non-churn"
"no complaint",4603,71,268.07,33,"active","non-churn"
"no complaint",2798,63,173.855,31,"active","non-churn"
"no complaint",4180,87,302.68,26,"active","non-churn"
"no complaint",2765,44,1256.36,16,"active","non-churn"
"no complaint",9520,126,965.84,41,"active","non-churn"
"no complaint",14178,174,578.08,42,"active","non-churn"
"no complaint",4920,88,212.32,23,"active","non-churn"
"no complaint",6323,100,325.035,10,"active","non-churn"
"no complaint",2643,59,144.08,15,"non-active","non-churn"
"complaint",15545,230,851,30,"active","non-churn"
"no complaint",3500,32,2077.28,6,"active","non-churn"
"no complaint",15890,187,1402.965,28,"active","non-churn"
"no complaint",6905,91,1027.84,24,"active","non-churn"
"no complaint",1280,19,62.955,9,"non-active","non-churn"
"no complaint",1115,19,114.03,6,"non-active","non-churn"
"no complaint",0,0,4.5,0,"non-active","churn"
"no complaint",7913,132,2094.525,41,"active","non-churn"
"no complaint",11870,159,529.16,45,"active","non-churn"
"no complaint",7123,80,814.635,35,"active","non-churn"
"no complaint",1360,52,140.04,15,"non-active","churn"
"no complaint",10840,98,278.45,40,"active","non-churn"
"no complaint",6223,103,406.17,22,"active","non-churn"
"no complaint",3245,27,134.88,12,"active","non-churn"
"no complaint",3395,46,177.64,14,"non-active","churn"
"complaint",2673,49,248.88,29,"non-active","churn"
"no complaint",538,7,25.8,1,"non-active","churn"
"no complaint",2073,30,88.12,4,"active","non-churn"
"no complaint",7190,102,219.8,20,"active","non-churn"
"no complaint",1033,12,51.125,2,"non-active","churn"
"no complaint",743,9,18.78,1,"active","non-churn"
"no complaint",16480,243,757.035,78,"active","non-churn"
"no complaint",7370,121,1561.095,31,"active","non-churn"
"no complaint",4123,87,202.95,26,"active","non-churn"
"no complaint",2070,49,240.76,18,"non-active","non-churn"
"no complaint",3185,58,937.935,21,"active","non-churn"
"no complaint",1720,41,952.245,9,"active","non-churn"
"no complaint",1973,44,127.925,66,"active","non-churn"
"no complaint",1105,30,100.575,5,"non-active","non-churn"
"no complaint",1230,15,86.125,1,"non-active","non-churn"
"no complaint",1630,37,165.015,11,"active","non-churn"
"no complaint",3630,66,183.84,21,"active","non-churn"
"no complaint",2100,31,226.395,12,"active","non-churn"
"no complaint",6797,146,854.865,40,"active","non-churn"
"no complaint",9337,176,422.825,38,"active","non-churn"
"no complaint",3257,50,260.28,17,"active","non-churn"
"no complaint",4795,45,1057.6,8,"active","non-churn"
"no complaint",1892,24,80.64,5,"active","churn"
"no complaint",3355,54,153.405,15,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1438,43,1538.145,22,"active","non-churn"
"no complaint",3183,49,177.76,33,"active","non-churn"
"no complaint",1378,41,78.045,31,"active","non-churn"
"no complaint",2760,65,127.125,26,"active","non-churn"
"no complaint",1345,22,1066.68,16,"active","non-churn"
"no complaint",8100,104,776.16,41,"active","non-churn"
"no complaint",12758,152,516.4,42,"active","non-churn"
"no complaint",3500,66,142.64,23,"active","non-churn"
"no complaint",4903,78,224.145,10,"active","non-churn"
"no complaint",1223,37,50.4,15,"non-active","non-churn"
"no complaint",14125,208,743.985,30,"active","non-churn"
"no complaint",2080,10,1887.6,6,"active","non-churn"
"no complaint",14470,165,1189.575,28,"active","non-churn"
"no complaint",5485,69,838.16,24,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",6493,110,1881.135,41,"active","non-churn"
"no complaint",10450,137,423.48,45,"active","non-churn"
"no complaint",5703,58,601.245,35,"active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",9420,76,237.4,40,"active","non-churn"
"complaint",4803,81,219.78,22,"active","churn"
"no complaint",1825,5,73.2,12,"active","non-churn"
"no complaint",1975,24,89.955,14,"non-active","churn"
"no complaint",1253,27,59.2,29,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",653,8,26.44,4,"active","non-churn"
"no complaint",5770,80,146.25,20,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15060,221,687.645,78,"active","non-churn"
"no complaint",5950,99,1347.705,31,"active","non-churn"
"no complaint",2703,65,124.56,26,"active","non-churn"
"no complaint",650,27,51.08,18,"non-active","non-churn"
"no complaint",1765,36,724.545,21,"active","non-churn"
"no complaint",300,19,738.855,9,"active","non-churn"
"no complaint",553,22,14.375,66,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",210,15,10.125,11,"active","non-churn"
"no complaint",2210,44,90.16,21,"active","non-churn"
"no complaint",680,9,31.005,12,"active","non-churn"
"no complaint",5377,124,594.055,40,"active","non-churn"
"no complaint",7917,154,304.275,38,"active","non-churn"
"no complaint",1837,28,74.6,17,"active","non-churn"
"no complaint",3375,23,867.92,8,"active","non-churn"
"no complaint",472,2,21.33,5,"active","churn"
"no complaint",4065,65,185.85,15,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2148,54,1683.09,22,"active","non-churn"
"no complaint",3893,60,217.415,33,"active","non-churn"
"no complaint",2088,52,117.7,31,"active","non-churn"
"no complaint",3470,76,272.07,26,"active","non-churn"
"no complaint",2055,33,1195.52,16,"active","non-churn"
"no complaint",8810,115,905,41,"active","non-churn"
"no complaint",13468,163,545.24,42,"active","non-churn"
"no complaint",4210,77,171.48,23,"active","non-churn"
"no complaint",5613,89,256.59,10,"active","non-churn"
"no complaint",1933,48,83.24,15,"non-active","non-churn"
"no complaint",14835,219,790.16,30,"active","non-churn"
"no complaint",2790,21,2016.44,6,"active","non-churn"
"no complaint",15180,176,1334.52,28,"active","non-churn"
"no complaint",6195,80,967,24,"active","non-churn"
"no complaint",570,8,26.01,9,"non-active","non-churn"
"no complaint",405,8,45.585,6,"non-active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",7203,121,2026.08,41,"active","non-churn"
"no complaint",11160,148,468.32,45,"active","non-churn"
"no complaint",6413,69,746.19,35,"active","non-churn"
"no complaint",650,41,71.595,15,"non-active","churn"
"no complaint",10130,87,255.425,40,"active","non-churn"
"no complaint",5513,92,337.725,22,"active","churn"
"no complaint",2535,16,102.04,12,"active","non-churn"
"no complaint",2685,35,131.4,14,"non-active","churn"
"complaint",1963,38,188.04,29,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1363,19,55.28,4,"active","non-churn"
"no complaint",6480,91,181.775,20,"active","non-churn"
"complaint",323,1,13.1,2,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15770,232,720.09,78,"active","non-churn"
"no complaint",6660,110,1492.65,31,"active","non-churn"
"no complaint",3413,76,157.005,26,"active","non-churn"
"no complaint",1360,38,179.92,18,"non-active","non-churn"
"no complaint",2475,47,869.49,21,"active","non-churn"
"no complaint",1010,30,883.8,9,"active","non-churn"
"no complaint",1263,33,89.9,66,"active","non-churn"
"no complaint",395,19,32.13,5,"non-active","non-churn"
"no complaint",520,4,48.1,1,"non-active","non-churn"
"no complaint",920,26,96.57,11,"active","non-churn"
"no complaint",2920,55,123,21,"active","non-churn"
"no complaint",1390,20,157.95,12,"active","non-churn"
"no complaint",6087,135,771.21,40,"active","non-churn"
"no complaint",8627,165,384.8,38,"active","non-churn"
"no complaint",2547,39,199.44,17,"active","non-churn"
"no complaint",4085,34,996.76,8,"active","non-churn"
"no complaint",1182,13,53.775,5,"active","churn"
"no complaint",4065,65,185.85,15,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2148,54,1683.09,22,"active","non-churn"
"no complaint",3893,60,217.415,33,"active","non-churn"
"no complaint",2088,52,117.7,31,"active","non-churn"
"no complaint",3470,76,272.07,26,"active","non-churn"
"no complaint",2055,33,1195.52,16,"active","non-churn"
"no complaint",8810,115,905,41,"active","non-churn"
"no complaint",13468,163,545.24,42,"active","non-churn"
"no complaint",4210,77,171.48,23,"active","non-churn"
"no complaint",5613,89,256.59,10,"active","non-churn"
"no complaint",1933,48,83.24,15,"non-active","non-churn"
"no complaint",14835,219,790.16,30,"active","non-churn"
"no complaint",2790,21,2016.44,6,"active","non-churn"
"no complaint",15180,176,1334.52,28,"active","non-churn"
"no complaint",6195,80,967,24,"active","non-churn"
"no complaint",570,8,26.01,9,"non-active","non-churn"
"no complaint",405,8,45.585,6,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7203,121,2026.08,41,"active","non-churn"
"no complaint",11160,148,468.32,45,"active","non-churn"
"no complaint",6413,69,746.19,35,"active","non-churn"
"complaint",650,41,71.595,15,"non-active","churn"
"no complaint",10130,87,255.425,40,"active","non-churn"
"no complaint",5513,92,337.725,22,"active","churn"
"no complaint",2535,16,102.04,12,"active","non-churn"
"complaint",2685,35,131.4,14,"non-active","churn"
"no complaint",1963,38,188.04,29,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",1363,19,55.28,4,"active","non-churn"
"no complaint",6480,91,181.775,20,"active","non-churn"
"no complaint",323,1,13.1,2,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15770,232,720.09,78,"active","non-churn"
"no complaint",6660,110,1492.65,31,"active","non-churn"
"no complaint",3413,76,157.005,26,"active","non-churn"
"no complaint",1360,38,179.92,18,"non-active","non-churn"
"no complaint",2475,47,869.49,21,"active","non-churn"
"no complaint",1010,30,883.8,9,"active","non-churn"
"no complaint",1263,33,89.9,66,"active","non-churn"
"no complaint",395,19,32.13,5,"non-active","non-churn"
"no complaint",520,4,48.1,1,"non-active","non-churn"
"no complaint",920,26,96.57,11,"active","non-churn"
"no complaint",2920,55,123,21,"active","non-churn"
"no complaint",1390,20,157.95,12,"active","non-churn"
"no complaint",6087,135,771.21,40,"active","non-churn"
"no complaint",8627,165,384.8,38,"active","non-churn"
"no complaint",2547,39,199.44,17,"active","non-churn"
"no complaint",4085,34,996.76,8,"active","non-churn"
"no complaint",1182,13,53.775,5,"active","churn"
"no complaint",4675,77,238.08,19,"active","non-churn"
"no complaint",623,11,81.36,6,"non-active","non-churn"
"no complaint",2758,66,1576.96,26,"active","non-churn"
"no complaint",4503,72,295.625,37,"active","non-churn"
"no complaint",2698,64,164.79,35,"active","non-churn"
"no complaint",4080,88,322.72,30,"active","non-churn"
"no complaint",2665,45,1276.4,20,"active","non-churn"
"no complaint",9420,127,985.88,45,"active","non-churn"
"no complaint",14078,175,598.12,46,"active","non-churn"
"no complaint",4820,89,232.36,27,"active","non-churn"
"no complaint",6223,101,308.96,14,"active","non-churn"
"complaint",2543,60,164.12,19,"non-active","non-churn"
"no complaint",15445,231,871.04,34,"active","non-churn"
"no complaint",3400,33,2097.32,10,"active","non-churn"
"no complaint",15790,188,1425.51,32,"active","non-churn"
"no complaint",6805,92,1047.88,28,"active","non-churn"
"no complaint",1180,20,85.5,13,"non-active","non-churn"
"no complaint",1015,20,121.4,10,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7813,133,1881.84,45,"active","non-churn"
"no complaint",11770,160,343.25,49,"active","non-churn"
"no complaint",7023,81,837.18,39,"active","non-churn"
"no complaint",1260,53,144.52,19,"non-active","churn"
"no complaint",10740,99,174.585,44,"active","non-churn"
"no complaint",6123,104,428.715,26,"active","non-churn"
"no complaint",3145,28,154.92,16,"active","non-churn"
"complaint",3295,47,197.68,18,"non-active","churn"
"complaint",2573,50,168.075,33,"non-active","churn"
"no complaint",438,8,45.84,4,"non-active","churn"
"no complaint",1973,31,67.6,8,"active","non-churn"
"no complaint",7090,103,139.395,24,"active","non-churn"
"no complaint",933,13,63.65,6,"non-active","churn"
"no complaint",643,10,26.295,4,"active","non-churn"
"no complaint",16380,244,779.58,82,"active","non-churn"
"no complaint",7270,122,1407.68,35,"active","non-churn"
"no complaint",4023,88,200.44,30,"active","non-churn"
"no complaint",1970,50,260.8,22,"non-active","non-churn"
"no complaint",3085,59,960.48,25,"active","non-churn"
"no complaint",1620,42,866.48,13,"active","non-churn"
"no complaint",1873,45,84.27,70,"active","non-churn"
"no complaint",1005,31,109.44,9,"non-active","non-churn"
"no complaint",1130,16,98.65,5,"non-active","non-churn"
"no complaint",1530,38,187.56,15,"active","non-churn"
"no complaint",3530,67,203.88,25,"active","non-churn"
"no complaint",2000,32,221.28,16,"active","non-churn"
"no complaint",6698,147,722.025,44,"active","non-churn"
"no complaint",9238,177,261.225,42,"active","non-churn"
"no complaint",3158,51,280.36,21,"active","non-churn"
"no complaint",4695,46,1077.64,12,"active","non-churn"
"complaint",1793,25,100.72,9,"active","churn"
"no complaint",4735,80,260.6,21,"active","non-churn"
"no complaint",683,14,103.88,8,"active","non-churn"
"no complaint",2818,69,1599.48,28,"active","non-churn"
